text,actual,predicted
i just seen that tweet lmao,0,1
thats great bc last night trish found that lo sasha luke and drew wouldn t be there,0,1
watching rove sytycd was amazzingg y,1,0
i just realized this is technically my birthday weekend given its on tuesday and i m sitting around the house watching tv,0,1
not in the mood to say anything and do anything,0,1
i would cry too good thing im far away in california haha,0,1
i do so love the quot remove duplicates quot function in excel 2007 saved me hours this morning,1,0
obama said quot eat lead quot till the modern linen,0,1
realizing that i don t have school today or tomorrow or for the next few months i really need to get on those job applications,1,0
uh uh wud not recommend it quite laughable for x men standards,0,1
40x100 25 nice time to go to work now,0,1
ok but say hi to brazil please guys bsb,0,1
just woke up i think im gonna do hw today,1,0
also i done the race for life today d i was fine earlier but now im abit tired,0,1
why the fcuk can t i dmsg you i m about to give up on this sharing sh t,0,1
what do i do,0,1
where are you going tonight,0,1
help please how can i forget a man that i love and did not know that i exist this man is joe,0,1
it was a napoleon dynamite reference that online comes across as racist russfail,0,1
early morning spinning 45 miles noooo air,1,0
hey i saw you don t have your inspiration today,0,1
bigfanfriday he is my mentor great luvly man looks after me when i get stuck,1,0
that show is a classic it s not on over here,0,1
bored in lsc so i decided to keep you updated happy monday,0,1
to try and do both is almost impossible which is why in the first two hours i only read a short story,1,0
how much r tickets i would to go and support you,1,0
hahaha i m gonna miss you really i ll visit you guys soon,0,1
have just noticed i can pay with paypal so donating to u amp kez now can t find a page for emily though,0,1
i spend so much time working on other peoples site i rarely find time to update mine,1,0
my life,0,1
don t cryyyy,1,0
me too,0,1
somtimes i guess i am,1,0
i just seen your reply about the triangle it s a kick ass resteraunt in douglass ks not douglas ave greattacos,0,1
same story everywhere baby,0,1
voc de curitiba,1,0
great idea but is mexico anyway a long time ago i want to get the porky,1,0
the rain sucks really didn t want to get out of bed but here i am day off tomorrow,1,0
boooom lucky you have wi fi there,0,1
i guess i ll just go to bed,0,1
no isnt stupid see,1,0
beg you some food nuh lol xoxo,1,0
a we miss you too johnny let s go get some food,1,0
dead watching george lopezey,1,0
needs to eat p im hungry,1,0
a hope you find some nice girls,0,1
i recognized the pic funny i ll see you tomorrow nitey nite i am working earrrrrrrly,0,1
hahahahaha i wish they lowered it too then we could go out,1,0
gyms are boring more exciting ways to keep fit and they don t need expensive equipment that could hurt you,1,0
had a crazy day bre got sick after we rode firehawk but anyways im at home watching x men now,1,0
goodbye you suck never really liked you,1,0
off to boston,1,0
holy moly i am 30 away from 1000 foloowers i rem being bummed i only had 100 ty all,1,0
i wish it was like this all the time,1,0
when are you coming to brazil we re waiting for you,1,0
the ubi host is not funny at all he should stop trying,0,1
don t ya wish you could be like hulk sometimes sorry photo contains nudity via,1,0
it was at a corner store by my hotel in napa and it was purple fuel for a wasted life,1,0
my baby still at tha shop twinn,0,1
good morning its monday back to work time to get up and get beautiful new day new begining,0,1
sure thing i have blank cds here my house amp i dont have anything to do so i ll just burn it now,1,0
how about quot that thing really is silent quot we ll leave that one a private joke,1,0
filling up on rice dinner tonight you disappoint me,0,1
third time on a ride and still havent gotten off,1,0
if anyone sees my mother today give her a hug for me i can t be there,0,1
my router is playing silly buggers with aim again,0,1
you got that too i had pretty much the exact same thought then blocked,1,0
aye but i ve a need for it all on dvd in the piratey way giggles i can t find season 1 or any cover art show is pure genius,0,1
i guess but i m watchin the marathon on the n jimmy aka drake just got shot,0,1
today for the second day in a row i was trying to convince the girl i love to stay with me didn t succeed this time,0,1
oh great images have died on my comp now all i see is this red cross amp ipb image how lame s ladida oh look this could be 520,1,0
i m seeing it live on monday,1,0
just left the party going to baxter meet up da homies da special wifey flakes on me,0,1
good news is the laptop now turns on bad news is that the keyboard doesn t work thank god for my ipod,1,0
my hair doesn t look completely retarded success,1,0
ha ha testing out twitpic on my phone guess it works but no text,0,1
ok fine she didnt lol,0,1
ok must go to store why are there no real geeks on chat to ask about this stuff with i have been forsaken,0,1
alternate motrin and tylenol every four hours get her some fever pops hope she gets better soon,1,0
be back in 2 hrs going to buy a blackberry lol x,1,0
does powerade really help i could use some,1,0
well the raid 0 config is working fine now now the stupid updates are running again currently at update 52 81 long night xd,1,0
hm can i be the nut,0,1
oh no what colour was it xxxxxxxxxxx,0,1
back from dinner amp my muscles are still aching from training can t wait for you t be back,0,1
okay so no curls blow out,0,1
ill have twitter w me tho on my ipod,1,0
i better not tease you the quot bf quot might get paranoid,0,1
offf to schoooll,0,1
what wot,1,0
boring sunday weather s not too bad tho shall aim to complete chinese paper,1,0
i like to tweet when my iphone is about to run out of juice it s exciting apple please don t make next gen iphone better,1,0
oh my day was o so wavy idk if im goin to bed yet,1,0
summer nights oh wait im still in class 2 more days freedom,0,1
just folded bottom set to a rr he showed a pair of aces,0,1
i was already working on this issue w that dept so she said to call her directly with any other issues i guess i will,1,0
gunna be a well shit day may watch lost hehe,1,0
my friends have banished me from facebook because of 2 many status updates apparently this is the place i shroud be,1,0
today the best concert ever is one year ago linkin park live in munich i will never forget,0,1
more gavin and stacey,1,0
i feel for ya our cable was out all evening yesterday sure hope it s back up missed quite a few great shows from recording,0,1
i for one welcome our new cyber criminal overlords,0,1
so out of the loop i should meet you guys soon hang in there gang,0,1
only need to be in 4th hour today since that s the only class i have an exam in,1,0
there s no image thar,0,1
just watched anvil bless they seem like nice guys can t believe i have to work tomorrow wah,0,1
i can only go for the signin cop i got drama practice,0,1
day off means day out ohh amp amp revision but i say 70 shopping amp amp 30 revising,1,0
im really tired after physical work my bed is calling me good night,1,0
when is the sims 3 going to arrive,0,1
finally watch twilight so i could see what all the fuss was about anabelle i liked it but i don t really find robert pattinson hot,0,1
morning world i think the weekends booze is nearly out of poor unhealthy body i have absed my temple and am now paying for it lol,1,0
dean hunt deanhunt on twitter doesn t follow you thanks for the report still have a lot to learn but learnin,0,1
forgive me jaz for saying that,0,1
id love to visit ticketmaster if i lived in america,0,1
after four months of watching scrubs almost daily i ve run out of episode might give me a chance to watch weeds season four finally,0,1
stayed up way too late reading i just couldn t help myself working at the sbo till 4 30 then back to reading,1,0
headed home today,0,1
sigh yes you still at work i m watching lipstick jungle,1,0
then you don t have to clean up your studio to still participate if you want,1,0
haha i had to spend a fb free day in your office yesterday what did you do to crack it,0,1
my schedule s ruined owell what s new i hope i can still accomplish everything today,1,0
last day of finals today its the two easiest finals too im a senior come 11 01 cant wait for summer and the next school year im,1,0
haha you crack me up i really want to see your kids sometime i bet they are sooo cute i miss the kids i used to teach,0,1
work work work doing some accounting and listening to music at the same time,1,0
happy biirthday dunderhead i don t need twitter today too much to do you slip she grip by pitbull ft tego calderon acevergs,0,1
i think i should appear online more often here goes nothing,1,0
i almost missed the bus because i was watching the video for famous last words,1,0
enjoy one for me my fridge is bare,0,1
new ps3 tomorrow woot had 2 already both broke 3rd time lucky,1,0
with one hand in your pocket any accidental quot path to ground quot won t include your heart,1,0
keep the bgt tweets coming for us in the us that can t watch it,0,1
tears in my eyes ghost mmm so sad patrick fading fast but what a legacy of films will never be forgotten 0,1,0
omg i dropped my phone it s ok it took 1 day,1,0
i traded her this for the skyway which now has proper tuff wheels,1,0
just drove past taipei 101 hehe kinda hard to miss,1,0
none of my tweets are posting,0,1
starting to scare myself,1,0
thank you lovely i didnt forget bout the poster jus havent had time sorry,0,1
car was sold weekend involved buses and train trips yay enjoying the smell of people that doesn t seem to enjoy washing regularly,0,1
i want it too meet up next week we can go get some,1,0
thanks for the positive reinforcement i miss you,0,1
is not as in love with her art project as she should be,0,1
feeling lazy just cooking rice egg for dinner and a drizzle of soy sauce to go with it,1,0
just chillin with my niece as her daddy does yard work a mellow overcast day what to do hope everyone has a great saturday,0,1
i would be all over that if i had,0,1
safe to say that i had my face melted off twice tonight 1st time courtesy of sssc followed by nin might have been for the last time,0,1
lol well i ll probably do shit in the rest like we get to see ea tomorrow i ve missed her,1,0
twit my way out of grad traffic,0,1
doin laundry yey,0,1
are you in need of a special father s day card can turn your photo into a card for you,1,0
welcome to the last few years of my life,0,1
why not in khi,0,1
that s a pretty stupid quote from my view,0,1
have a great weekend my weekend is over roll call at 2300,0,1
i ve been single so long all i have is a hans solo,1,0
hellooooooooo missed me i missed you,1,0
history is gonna kick my ass,0,1
last day with my favourite uncle gonna close up this bike deal today,0,1
or call cox get ur money back for their fuck up and demand free hbo for a couple of months,1,0
can t dm you,0,1
rofl i wanna see it,1,0
do you know how important is for me what you said you make me cry hahah,0,1
heard you put on an awesome show jesse wish you could be at the show tmw too,1,0
yea probably not well its probaly definite that she ll b there watchin,0,1
caps break my heart again,0,1
what if i can t,0,1
th th m chi ti t th n tho i v o y i bi n th nh si u c c i ch h n,1,0
it would have been good on twitter when the final was live it was on saturday night we already know who won,0,1
less email yes but i don t have time for metrics,0,1
i was going to send you a tempting screenshot but you can t screenshot windows media player,0,1
mucho,0,1
has nothing interesting to say,0,1
holidays are over and therefor so is fun,0,1
your duet with was amazing i wish i d been there,0,1
haha the book i read this morning he turned evil haha,0,1
standing on navajo bridge between az and ut next stop northern grand canyon,1,0
beautiful dayyyy,0,1
quot listening to dancing queen by abba quot shame on you,0,1
reading quot obama signs sweeping anti smoking bill white house msnbc com quot dick,0,1
so many cool git tools and interfaces but no time at all to try them out,0,1
really who did you get me,1,0
yes i think it is an old packet that slipped out can t buy it in nz i got it in the states for the boys,1,0
aw i hate that feeling ps did you see the new mooooon trailer,1,0
alexandra i cant make an acount its not working,0,1
i d rather she not if she s going to destroy them,0,1
back to 100 after last night but now off to work hopefully there will be plenty of game left for me to enjoy when i get home go pens,0,1
smoooked a bong last night and stole somebodies cellllephone arcticmonkaaays,1,0
bedtime finally busy day tomorrow,0,1
australia ftw look at the bright side you have risk i have a uh actually i have nothing to do,0,1
mondays are a pain sweat pants to school today lol,1,0
free she in jail,0,1
i wish i was it sounds like so much fun you re awesome,0,1
sounds fun but i am studying,0,1
is actaully having a fab night with her girlies online haha xx still wanna see hudson so cant wait for weds pleaseeeee be on jane xxx,0,1
i d like to head down after friday traffic dies down a bit i ll leave at 7pm how does that sound can you wait to eat,1,0
that s nothing and she resigned too,1,0
send a pic of one i wanna see,1,0
watching the tonight show with jay leno for the last time i m glad conan is coming back soon though,0,1
the relay for life ended today the ceromony yesterday was really sad but im glad i went,1,0
someone tell me some horrible things that might happen to me and my life if i dont revise and fail all my exams eg live in a bin,1,0
birthday 29th can wait,0,1
even though we didnt win go dons,1,0
dead that retweet maaad funny guess they gotta give dwight a puppet now,0,1
thats what happened over here in the uk after a drink in a pub your clothes would smell of smoke for hours not any more,1,0
i ve completed my top 3 tasks for the day now its time to do some house work,0,1
rawrrr school no shit better happen today cuz im in a good mood lol,1,0
why,0,1
hips still hurting from yesterday s run no combat today so had a massive lie in woohoo making me watch something on bbc2,0,1
why do people make fun of other people who listen to foo fighters,0,1
fiji no tv or internet but i reckon a break from technology will be good sad that you wont be able to know what im,1,0
sorry lbyn but it all started once you used the word grockles why not use bloody offcomers like they do oop north,1,0
in work going into some technical training,1,0
the lack of leadership brings to chaos,0,1
because i m going to bed,0,1
cool cs last night tonight,0,1
i m sleepy meeting at 8am tomorrow then the cubs game with christina,1,0
ugh got to be up early tomorrow for once gonna see the hangover finally,1,0
hills in heels is not fun had to deal with that on friday,0,1
it is really but we will succeed i m like trying to figure it out right now xd,0,1
road trippin,1,0
10 feet away from tomorrow 24 more days,1,0
ahhhhh i m normal too one more week together,0,1
you may need to finish some of it off can t even look at the thing right now,1,0
no gsd for you either eh,0,1
no response from the brendon,0,1
isn t as cool as jd,0,1
oh good i thought something bad happened,1,0
trying to make it to catch23 but not lookin good right now,0,1
we have the new dear hunter album in the store but i can t buy it till tuesday,0,1
so i think i ll stop following you and leave you alone,1,0
i will forgive you,1,0
now onto crafts making a scrapbook page while i wait for my honey to come home amp intensely craving chips that i don t have,0,1
what s up sounds like all is not well with you,0,1
morning got my hospital appointment today so no school,1,0
erg theres nothing to do lol juss went to vitionland 2day with shelby and jb,1,0
had a good workout this morning cleaned my truck it s sooo hot outside had to get wet to keep cool,0,1
if you need a doctor you can find one here and make an appointment directly online feel better,1,0
i got to leave work early,1,0
mummy i demand a present haha can or not,0,1
going to read huck finnn,0,1
we get to see what crappy music we each listen to,1,0
it looks so nice outside i want to go for a drive or a walk down pallarenda fish and chip dinner would be awesome,0,1
ah well every family needs a blue sheep only other thing i can think of is napisan,1,0
i know that but why does he know that,1,0
its 11 11 make a wish,1,0
lots of bites but no fish had fish amp chips to try amp make up for it though almost sleep time work tommorrow public holiday amp all,1,0
i m on my la shit,1,0
well off to the other side of town to see jacob for his birthday its the big 5 wow they grow fast,0,1
elise quit going on chadley s twitter now,0,1
not your day today is it,0,1
phone with lacey lt 3 finishing out rough drafts for the history essay together lol texting ppl maybe 3 way with kevy haha text,1,0
fox is down in my town i can t watch mental please put it up on the site as soon as you can,0,1
i m trying to smile like miyavi it s not working,0,1
i agreed but their are current quot stuck quot in their logic,1,0
we re number 2766 on the reverbnation electronica dance charts help me to climb up,0,1
that intro was epic great way to start out the mtv movie awards highlights so far keyboard cat andy s intro amp rap lowlight miley lost,0,1
i want to hold your hand again,1,0
imho if you ve seen quot waterworld quot you ve seen the quot re imagined quot romulans in the new quot trek quot film,0,1
4 days until graduation at carolina,0,1
i seriously hope i was not that kind of drunk so annoying nothing a hammer or shovel couldn t fix,1,0
has a busy week ahead of her,0,1
oh dear,1,0
is looking for a good frosting recipe for the sponge cake anyone can suggest me sth,0,1
once again being gayed all over by mario party 8 fuck this game,0,1
time 4 some kingdom hearts 2 will have 2 play frm beggining with roxas no memory card,0,1
reply to big jugs tweet theres a route on portland called six big jugs but from the bottom you can only ever see four at most,1,0
sleeping on public ground transportation is the way i roll,1,0
mine are grown does reading to your dogs count d,0,1
yes kate waiat ppl are saying gnight to you well nighty night tweet ya later,0,1
you not aimin me,0,1
oh man i m with you on that one makes me wanna do this to the server housing the software,1,0
i almost went on a cruise in jan but there was a change of plans that s one thing i always wanted 2 do amp g o on a hot air balloon ride,1,0
off work finalllyyyyy text me,1,0
that s all any of us can do i wish i had a magic wand i d use it on everyone here to make us all feel fabulous,1,0
i would do anything too see my girls happy so y is it virtually impossible too get there she s so down which makes me down,0,1
this rain is going to make my hair drip,0,1
i was able to fix my computer epic win timez r nao,1,0
about miley and i m sure that you come besides but mum wake me up,0,1
hello world awe dang nightshifts again,0,1
its friday lets stay up guys no goodnight,0,1
when will copy stack become a defauly feature in windows,0,1
redecorating the office with sketchup looking forward to finally getting it done so tired of this damn orange wallpaper,0,1
ohkay well i forgot you said name for name it seems so simple that i didn t even thought of that xd,1,0
lol tr im unavailable lt it was more about the name,1,0
that s very true,0,1
iranelection tehran mousavi iremember lakers true blood kobe at amp t iphone,1,0
so i m wearing a hat i reallly like and so far i m not even out of the house and i m already getting picked on,0,1
hola didn t talk to you last night i m doing good just chilling at home how are you doing,0,1
i want to but august not looking likely now would be amazing to go,0,1
not me i hope,0,1
have a great day jen quot somebody quot had me up early because she was hungry it s saturday,1,0
ahhh have a maths exam tomorow morning scary stuff maths is bad cant fail vote tom felton,1,0
is rob not gonna show,0,1
starting to watch lost season finale 5x16 yeeah i m slow,1,0
a well gives you cookies,0,1
realized how late it is must attempt sleep now yawns laundry and school paperwork in the am work in the pm busy day,1,0
o what why,0,1
drenched in water from the city rain now i feel like smiling,1,0
advani on orkut and othr google ads i hated it now i am happy,1,0
and the weather is amazing here now no rain,1,0
i m glad to hear she is going good they kept danica overnight when she was spayed,0,1
a regional affilate from vodafone called and was apologetic for yesterday s treatment by the customer care i could ve asked for a waiver,1,0
ate too much last night drank too much last night played too many games last night arms hurt now i m recooperating today,1,0
flylady also did e mailing and had to check on dd amp friend from down the street a boy they were playing in her room with door closed,0,1
justin is being a poo cuz i tweet,1,0
lol u should have bought some wana munch on smthng sweet not brownies but donuts kinda late to go out,0,1
berocca time i think shouldn t be drinking on a school night,0,1
happy father s day,0,1
rolf sorry heather,1,0
what was crap the better,1,0
tomorrow only no one can come next public event is at the rolling pin on 6 12 ain t yo mamma s southern food,0,1
i guess you have that india call daily huh i work with brazil so no timezone issues,1,0
umm delicious yummy stuff sorry i can t be more specific but my sun fried brain does no remember,0,1
via i had to repost this probably old but i laughed so hard xd,0,1
not again,0,1
damn that would suck you would of had so much fun aye,1,0
u already know putting in work feeling good 2day on this beautiful supaflycredible saturday u ready for monday,1,0
ended up stopping at chipotle after hospital haha yay no guac though xd,0,1
sorry peter i hope u win but if not lets hope he goes for the bargain lol,0,1
not yet it s so pathetic already i am onto the finale though s favorite place is close to where i live,1,0
hey girly i just left sunset i wish i got these updates to my phone but lets hangout one of these days,0,1
because i am a dairy farmer,0,1
i m listening to the podcast good stuff i believe that the comissioner has his hands full with all of these problems,0,1
mann tht jacuzi felt good finished makin some cherry pie i wish i had a sweet cherry pie,0,1
flight attendants just arrived naaahhhhhh b you cud have em,0,1
no sad face i m happy to have a social life there,1,0
listening to in my car because he s a square and not coming to see me in milw this summer,0,1
miley miley miley miley or send you a hi to me s if wrong fault of the translator haha i love you so much,0,1
network of friends ooopps friendly ra man to,0,1
start work at 10 madness till 7 home tweet lots of caffeine nicotine and other things in between,1,0
7 things i hate about u,1,0
yep i ll post them tomorrow i didn t bluetooth any to my phone i may try to do that now,1,0
had a strange day dinner then out,0,1
no sleep last night slept all day got some business to take care of back to the island missing robbie lots,1,0
first day at wgme 4 am came early this morning,0,1
one in the samee mannn fml jkkk,1,0
um i m not sure if my aim still works,0,1
i have to give the cutest kitten i ve ever seen away today,0,1
sara com i m about to lose my hosting,0,1
ready for bed had a great day in sf not ready for work tomorrow iphone in 5 days,0,1
occasionally misled like someone else,0,1
i m not sure if i ll be able to come to your quince,0,1
i am trying to rest but just cant sleep and the best thing is i have 2 small mischievous cousins at my home today,0,1
2 papers for international organizations and 1 chinese paper stand in my way of summer,1,0
got what chrissy has how are you doing,0,1
oh you know it,1,0
you betta be in a comma you have been pretty quiet today,0,1
whats the point in pre ordering something so you get it first and the n its still doestnt arrive 2 days after the release date,0,1
let the monday morning chaos begin,0,1
i have no more books to read,0,1
twit to u soon lt 3,0,1
finally after running errands since 8 am i am done yay not really cuz now i have to do homework,0,1
man i d love to have one in my yard down here in memphis too bad i can t come home lets go pens,0,1
yes sorry account fail between and i,1,0
can someone tell me how to change canvas size in adobe photoshop cs4,1,0
wonders if she should go golf or wild wild wet,0,1
i wanna come back to london my travel was amazing london is perfect i wanna come back i wanna go to london again,0,1
what s scary is i think i know most of those animals,1,0
i have all the sims 2 games what is the different om sims 2 and 3 please tell me sims 3 is not in denmark yet,0,1
lt my face right now,0,1
yeah and i envy u,1,0
me too we try and yes we can try to be wildddd i hope so jaja,0,1
checking into manor dulaney on west rd in towson across from ruck s,0,1
fair enough actually you dont have to give me x men mad max will do me fine,1,0
i want to take a few good photos however not really inspired by anything right now,0,1
itz a shame i cant go to sleep lol but it really doesnt matter freaks come out at nite lmao jus kiddin m j m ne,1,0
are all girls out to get me,0,1
hey does anybody know how to rip from hirufm arosha malli buthaya machan u can do a stereo mix recording f,1,0
i don t know why we weren t already haha oh well fixed,1,0
in worst case cenario i ll show up on offf with a white mask and scare everyone even better everyone should wear a mask besides me,1,0
first day back at skool man so shit have three asignments already gay as christmas,1,0
looks like started tweeting a week after the fan club dinner so slack my fan club membership should be revoked,0,1
nintendo wii like i have ach friends to play with im getting hang of it tho hit it out of the park woo,0,1
on my way to a work meeting at the day job not happy about it,0,1
certainly does i ve been waiting three weeks now for jbhifi to get me the maine,0,1
i want the new iphone come on australia,1,0
just watched zaia and think thaat i could do the same shit too,1,0
laying down for a nap draining day,0,1
oh no def not good luck i ll stick with my blackberrys haha they seem to be pretty durable for me,0,1
it s just boo shart what are you scared that you messed your pants i don t get it,1,0
ntm my celly s battery died and i am finally home,1,0
why do i keep doing this to myself,0,1
says angel and demons bagusss,1,0
just woke upand slept well did you even sleep mondays are tough,1,0
well at least get a bottle of wine or something,0,1
guinea pig i forgot him name though everytime i see him it just makes me happy,1,0
night you sleep well,1,0
last day in berlin,0,1
soooo you are saying she had fair warning hey times are tuff,1,0
people in bkt gantang chosed a penderhaka congratulation but maybe that his rezki,0,1
i cant vote for u either,0,1
i s getting there still 7 drawers to go one small new wound and 3 broken nails but who is counting,1,0
almost finnished work working from home is fun but very distracting o,1,0
starting the day at work with a blinking globe in your screen is kinda weird,1,0
courses are picked for next year and timetabled i have half days every day,1,0
you can come crash at my place if needed,0,1
hey hun i cant send u samples of what i need my macs down,0,1
hopefully it didn t look like someone blew a load on your face tho you d have more explaining to do than me i think,1,0
at least we re getting the band back together this weekend,0,1
evrything will be fine if it s a broken part fix it amp replace it if it s broken heart then face it hang on help is on the way,1,0
christopher nolan has still not signed for batman 3,0,1
getting thirsty for an ice cold coca cola going to get one now,1,0
milf island is real,0,1
my mozilla is not supporting me at all i wanna watch the new moon trailer but its not working at all ugh oh well be patient,1,0
watching i m a celebrity again it s not the same with spencer gone,0,1
no sun no pool no tan gota go to the studio early today i got that booom boom pow lol going live instantly tune in cardiland,0,1
i can t uploaded picture,0,1
pleaseeeeee come to scotland xxxxx,1,0
pre recording the ssradio radio show for tuesday i ll be away next week so can t do it live,0,1
i m glad everything went ok at the show khloe i m from italy and i couldn t call u what the prefix numba 2 call there,0,1
is trying to talk jay into going to the cinema to watch angels amp demons not having much luck so far,0,1
if you re overtly trying to sell something please don t bother following me cause i m only going to block you,1,0
nooooooooooooooooooooooo not satans,0,1
trying to figure out how to use twitter properly,1,0
was up wit dee parentss deez days ma momz is going out too,0,1
tried to follow one of your ff recommendations but quot have been blocked from following by request of the user quot,0,1
tile wall was cancelled so i m going to dinner with mom then possibly big bang,1,0
no narm for me,0,1
ask ppl 2 follow me,0,1
good night hopefully i won t wake up with this headache again,1,0
sounds like fun you get to watch them rehearse and i have to go to work,0,1
cleaning time soon,0,1
i dont believe myself i started working on weekends,1,0
somepeople have to go for work on time,1,0
yes indeed even if she would not have won she represented olathe very well,1,0
i m out kicks twitter,0,1
became bounce of my friend,0,1
mozilla company 3rd party apps other people program the apps for mozilla,1,0
i m not in town that weekend but i can reserve the month of august to have dimsum with you,1,0
just waking up w the babygirl she s fed and watching handy manny now getting ready to go to anniversary party not ours,0,1
buti pa sya what would happen if i spend a day with him day ha hindi night,0,1
phew wait where are my weekends,0,1
how i hate that construction quot off of quot srsly,1,0
lucky it s been so long since i ve been to a meet up,0,1
i m hungry hahahah how can i eat knowing that tomorrow i ll see the kooks impossible ahahah i m so excited,0,1
ghost whisperer is on at 9pm on living channel so excited but not pleased that i ve only just found out it was on and missed 1st 5 eps,0,1
its my anniversary and i sooo forgot thats how i knoe im soo caught up in disz outhhaa worldd im in happy anni babe ily,0,1
oh no craaaaazy mary keenan just got knocked out way to hang tough,0,1
listening to quot jay stays paid quot thinking these sounds like a bunch of beats dilla probably didn t even want us to hear,0,1
oh no but prob hahah,0,1
that s it i just turned 22 time to get the slippers on a glass of scotch in hand and a pipe,0,1
mhh ladies hostel group mail jealousy i am still in the process of locating a couple of them from orkut,0,1
allright argh she told me yesterday about that party i know i m stupid,1,0
ooh brrr hope it s not too cold good thing you brought the jacket,0,1
if scholars is a pub it wouldn t be fair to blame for not remembering,1,0
when you see my face hopes it gives you hell girlies i wish you sooo much fun tonight,1,0
problemas c twitter,0,1
oh oh oh gonna go buy twilight on dvd today i have to extend my overdraft for the 2nd time in as many weeks so i may aswell,1,0
mini cheat but its vegan lol,0,1
not long now,1,0
hope everything is ok hope you are out of the emergency room soon,1,0
the more you talk about it the more i keep imagining it no,0,1
sigh spilled coffee all over myself but on the bright side my diploma is here waiting for me to pick it up,1,0
i m in a funny mood today i want to play pokemon,1,0
woo cool i didn t get any presents this year,0,1
oh wonderful i finally get fractor to start up properly google desktop no apparently and now the mouse wheel is dirty,0,1
wow unbelievable how much a pick can go for eeek,1,0
maybe it won t be a fun weekend,0,1
at the docoter,0,1
come do a show in adelaide,0,1
so no one is brave enough to try a marg peanut butter and mayo sandwiche my belief in twitter is shattered,0,1
see you tomorrow guys i m still asking how to update my twitter from my phone im from mexico i need help soo,1,0
a no ahaha that makes more sense lol,0,1
thx me too the pt thinks the nerve damage could be perm at this point though does not make a girl happy,0,1
76 pound for tickets at bgt tour front row tho,1,0
not me but mike will be there,0,1
only has texting credit,0,1
how weird i can still send haha tweetdeck isnt updating twitter com here i come,0,1
you re absolutely right,0,1
booed up lol,1,0
nothing to report i m like 4th from the stage beind really tall peolpe just waiting,0,1
my phone hasn t spazzed to my knowledge for a good few hours maybe it s ok,1,0
you could use it but give the poor thing a normal middle name to use as a first name,1,0
why do i get up at 7 a m on sunday when i have nothing to do,0,1
ashhh ok i ll call him then,0,1
tonight i cant staying in for dinner with my momma are u going for graduationnnnn,0,1
up watching the sex and the city movie finally i m a combination of carrie and charlotte and i m now missing nyc even more,0,1
maybe an extreme response to a nit infestation,1,0
can sense a hull goal,0,1
link 4 my cycle ride training blog fat bird on a bike,1,0
i want to go to fraaaance no fair i still refuse to go to spain oooh 18th nicenice,1,0
every time i see your twitvim tweets i feel the need to use twit el,1,0
just woke up,1,0
going to the gateway and grabbing a bite to eat all alone,0,1
our efforts were in vain no silly string,0,1
it s a little girl apparently,1,0
my nose just got 69,1,0
well not my site per se you know,1,0
not a problem paul been upto my eyeballs in personal problems anyways dont suppose this client is mark pearson,1,0
mother nature doesn t hate you you re very pretty you may need some rest,1,0
that would be in need not i need,1,0
had my twitter account suspended i think for reporting on the worm and linking to a story about it w url excuse me for sharing,0,1
have i started something there,0,1
just returned from a pretty decent gig and they wanted us to quit at 11 so they could start karaoke night,1,0
that s a horrible ratio poor sadie hehe but it s still only 7 more days she has to be excited 1 2 done with hs right,1,0
calm i have to stay calm now x,0,1
this is what it sounds like when the doves cry thx,0,1
oh man first the bruins now the celtics,0,1
looking at wolfram alpha wow what a vision doesn t speak welsh though tried my welsh word of the day and it got a little confused,1,0
what the fuck thanks a lot,0,1
yeah the spring concert i do every year that you attended went very well,1,0
yes she was oh so good to me,0,1
oh dear jesus just renew chuck already c mon nbc stop being so mean chuck savechuck,0,1
no i m chatting with ppl in my game session,0,1
didn t realize how big of a babeee is showerrr,1,0
yea know what you mean,0,1
you re a scumbag,0,1
things i want mcdonald s fries a blackberry phone people phone the jonas brothers 5 white grapes seedless my best friends,0,1
no message,0,1
my last link didn t work try this and then click on the latest blog entry what i m becoming,0,1
i m really tired now gonna go read and then time for bed,1,0
listening to sarah reeve s sweet sweet sound which reminds me of my grandpa who passed away last week,0,1
we could only talk about our childhood all i could write about is the sandbox,0,1
today is the day p nk realises i am the one for her leaving in 4 hours fuckkkkk,1,0
good morning everybody my mother makes trouble,0,1
everything is closed except hypermarkets and mcdonald s so i went to mcdonald s,1,0
aahah i want the hot moustache one or the pig lawls,1,0
yeah it feels like a miracle to get a response from the ld sometimes,1,0
yeah that s why super was in quotes,0,1
oh shooot i am going 08 00 tomorrow to mah job god save me lol what a summer holiday xd haha i need to go to bed then good night,0,1
now it s like five mins from home,1,0
sorry in the night garden is seriously fucking with my brain the joys of parenthood,1,0
pfftt please dont talk about bugs living under your bed right now i am kind of thrilled,0,1
looks like dad may be leaving this squarespace and going home today doc said things look good for a guy who had a mild heart attack,1,0
good thing you don t work in my office,1,0
monday morning whatare you up to tonight,0,1
gonna see malik today i missed my baby boy,1,0
i m scared my computer hanged so you now it might have virus and just got home from subic philippines,1,0
im sure it pwns i wanna see it so bad i ll put it on a tshirt tomorrow and wear it saturday,1,0
heyyyyy guys bit of a hangover but a actually feel quite energetic lol weird x,0,1
my magic pill did not work good thing i have more that are not that old lol i am not a drugy,0,1
why am i not getting s tweets,0,1
i have to cook dinner for me and my sister i have no idea what to make and i can t cook,0,1
i think i m gonna call s today,1,0
great now the electricity is out,0,1
soooooooooooooooooooooo ready to go home,0,1
lol ive lost my creativity i can t think of anything to write anymore lol thnx for the concern,1,0
